category,businesses,food_businesses,food_share,is_food_related
Firearm Training,58,0,0.000000,0
Hats,58,2,0.034483,0
Psychics,58,0,0.000000,0
Stucco Services,58,0,0.000000,0
Professional Sports Teams,57,1,0.017544,0
Auction Houses,56,1,0.017857,0
Environmental Testing,56,0,0.000000,0
RV Rental,56,0,0.000000,0
Assisted Living Facilities,55,0,0.000000,0
Popcorn Shops,55,55,1.000000,1
Tutoring Centers,55,2,0.036364,0
Business Law,54,1,0.018519,0
Maternity Wear,54,2,0.037037,0
Special Education,54,6,0.111111,0
Axe Throwing,53,5,0.094340,0
Cigar Bars,53,17,0.320755,0
Furniture Repair,53,0,0.000000,0
Macarons,53,53,1.000000,1
Town Car Service,53,0,0.000000,0
Auto Security,52,0,0.000000,0
Beverage Store,52,52,1.000000,1
Sleep Specialists,52,0,0.000000,0
Sunglasses,52,0,0.000000,0
Zoos,52,3,0.057692,0
Beer Tours,51,33,0.647059,0
Boat Dealers,51,0,0.000000,0
Cardiologists,51,0,0.000000,0
Diving,51,0,0.000000,0
Home Network Installation,51,0,0.000000,0
Bartenders,50,16,0.320000,0
Challenge Courses,50,0,0.000000,0
Environmental Abatement,50,0,0.000000,0
Float Spa,50,0,0.000000,0
Herbal Shops,50,19,0.380000,0
Laser Tag,50,7,0.140000,0
Brazilian Jiu-jitsu,49,0,0.000000,0
Demolition Services,49,0,0.000000,0
Employment Law,49,1,0.020408,0
Kids Hair Salons,49,1,0.020408,0
Moroccan,49,49,1.000000,1
Estheticians,48,1,0.020833,0
Haunted Houses,48,1,0.020833,0
Hostels,48,3,0.062500,0
IV Hydration,48,1,0.020833,0
Laotian,48,48,1.000000,1
Piano Bars,48,35,0.729167,0
Service Stations,48,42,0.875000,0
Venezuelan,48,48,1.000000,1
Yelp Events,48,20,0.416667,0
Acne Treatment,47,0,0.000000,0
Art Museums,47,4,0.085106,0
Brasseries,47,47,1.000000,1
Brewing Supplies,47,37,0.787234,0
Cafeteria,47,47,1.000000,1
Fertility,47,0,0.000000,0
Piano Services,47,0,0.000000,0
Real Estate Law,47,1,0.021277,0
Skilled Nursing,47,0,0.000000,0
Tui Na,47,0,0.000000,0
Private Tutors,46,1,0.021739,0
Radio Stations,46,1,0.021739,0
Aquarium Services,45,0,0.000000,0
Bankruptcy Law,45,0,0.000000,0
Blood & Plasma Donation Centers,45,0,0.000000,0
Leisure Centers,45,7,0.155556,0
Musicians,45,8,0.177778,0
Afghan,44,44,1.000000,1
Car Inspectors,44,0,0.000000,0
Dominican,44,44,1.000000,1
Home Staging,44,0,0.000000,0
Midwives,44,0,0.000000,0
Officiants,44,3,0.068182,0
Payroll Services,44,0,0.000000,0
Skate Shops,44,2,0.045455,0
Tasting Classes,44,39,0.886364,1
Used Bookstore,44,6,0.136364,0
Aestheticians,43,0,0.000000,0
Dental Hygienists,43,0,0.000000,0
Kombucha,43,43,1.000000,1
Polish,43,43,1.000000,1
Pool & Billiards,43,7,0.162791,0
Trailer Repair,43,1,0.023256,0
Buses,42,0,0.000000,0
Foundation Repair,42,0,0.000000,0
Newspapers & Magazines,42,10,0.238095,0
Russian,42,42,1.000000,1
Firewood,41,1,0.024390,0
Prosthodontists,41,0,0.000000,0
Circuit Training Gyms,40,0,0.000000,0
Grilling Equipment,40,4,0.100000,0
Holiday Decorations,40,1,0.025000,0
Hypnosis/Hypnotherapy,40,2,0.050000,0
Lighting Stores,40,1,0.025000,0
Local Fish Stores,40,0,0.000000,0
Luggage,40,0,0.000000,0
Persian/Iranian,40,40,1.000000,1
Ski & Snowboard Shops,40,0,0.000000,0
Vehicle Shipping,40,0,0.000000,0
Basque,39,39,1.000000,1
CSA,39,39,1.000000,1
Day Camps,39,1,0.025641,0
Farm Equipment Repair,39,0,0.000000,0
